team_id,gameweek,fixture_date,fixtures_in_window,congestion_index,days_since_last,days_to_next,is_home,opponent,base_rotation_risk,turnaround_risk,dgw_risk,total_rotation_risk
17,2,2025-08-23 14:00:00+00:00,3,1.5,7.0,7,False,3,0.15,0.0,0.0,0.15
17,3,2025-08-30 14:00:00+00:00,2,1.0,7.0,14,True,5,0.05,0.0,0.0,0.05
17,4,2025-09-13 14:00:00+00:00,1,0.5,14.0,7,False,8,0.05,0.0,0.0,0.05
17,5,2025-09-21 13:00:00+00:00,2,1.0,7.0,6,True,2,0.05,0.0,0.0,0.05
17,6,2025-09-27 16:30:00+00:00,3,1.5,6.0,6,False,16,0.15,0.0,0.0,0.15
17,7,2025-10-04 14:00:00+00:00,2,1.0,6.0,14,False,14,0.05,0.0,0.0,0.05
17,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,True,20,0.05,0.0,0.0,0.05
17,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,False,7,0.05,0.0,0.0,0.05
17,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,9,0.05,0.0,0.0,0.05
18,1,2025-08-16 14:00:00+00:00,2,1.0,,6,True,3,0.05,0.0,0.0,0.05
18,2,2025-08-23 11:30:00+00:00,2,1.0,6.0,7,False,13,0.05,0.0,0.0,0.05
18,3,2025-08-30 14:00:00+00:00,1,0.5,7.0,14,True,4,0.05,0.0,0.0,0.05
18,4,2025-09-13 16:30:00+00:00,2,1.0,14.0,6,False,19,0.05,0.0,0.0,0.05
18,5,2025-09-20 14:00:00+00:00,2,1.0,6.0,7,False,6,0.05,0.0,0.0,0.05
18,6,2025-09-28 13:00:00+00:00,2,1.0,7.0,6,True,20,0.05,0.0,0.0,0.05
18,7,2025-10-04 14:00:00+00:00,2,1.0,6.0,14,False,11,0.05,0.0,0.0,0.05
18,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,True,2,0.05,0.0,0.0,0.05
18,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,False,9,0.05,0.0,0.0,0.05
18,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,7,0.05,0.0,0.0,0.05
19,1,2025-08-16 14:00:00+00:00,2,1.0,,6,False,17,0.05,0.0,0.0,0.05
19,2,2025-08-22 19:00:00+00:00,2,1.0,6.0,8,True,7,0.05,0.0,0.0,0.05
19,3,2025-08-31 13:00:00+00:00,1,0.5,8.0,13,False,16,0.05,0.0,0.0,0.05
19,4,2025-09-13 16:30:00+00:00,2,1.0,13.0,6,True,18,0.05,0.0,0.0,0.05
19,5,2025-09-20 14:00:00+00:00,2,1.0,6.0,9,True,8,0.05,0.0,0.0,0.05
19,6,2025-09-29 19:00:00+00:00,2,1.0,9.0,4,False,9,0.05,0.0,0.0,0.05
19,7,2025-10-04 14:00:00+00:00,2,1.0,4.0,14,False,1,0.05,0.1,0.0,0.15000000000000002
19,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,True,5,0.05,0.0,0.0,0.05
19,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,False,11,0.05,0.0,0.0,0.05
19,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,True,15,0.05,0.0,0.0,0.05
